"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"0","0.7333767778952333","0.9967547059059143","123.43138850592321","100.79816700082965","0.9939206838607788","132.91737674887665","92.3280483009541","0.9894065260887146","114.09834718392565","89.6503738808421","0.7759460806846619","151.253031811683","95.80527786659984","0.7996971011161804","101.01185119229984","98.93775062223452","0.9954179525375366","172.87222669015523","165.6842473122926","0.9887365698814392","86.30550608915442","163.7580750051853","0.9924671053886414","211.39238345077615","226.31842419109515","0.9830885529518127","47.069059883067816","230.49716645637446","0.9122092723846436","160.46737770629085","237.26521449806418","0.9419302940368652","78.19524228962419","243.9358115407218","0.955335259437561","167.56647646037584","308.30942339601773","0.9627360701560974","100.96375708486521","313.8705471342644","0.07423071563243866","150.35650914011438","327.5011450843474","0.06588555872440338","116.50458441840279","328.0933697455753","0.02204849012196064","170.4895099315768","255.35251853740323","0.017594285309314728","96.91326465482027","260.2169826811394"
"1","0.7334907815298614","0.9972629547119141","122.8637854881536","100.98349242083795","0.9948716759681702","131.68906218086192","92.71706640192893","0.9904584884643555","113.35612777011848","89.95351875777794","0.7819764018058777","149.59742327920753","95.51405915116842","0.7845004796981812","101.48025811887256","99.51949938208656","0.995499312877655","173.37212456597223","165.75193151963498","0.9953534603118896","79.45882161458334","159.48453920077435","0.9924583435058594","210.88803359885623","227.11692607508297","0.9842180013656616","45.47343335120507","230.51918772469583","0.9093115329742432","160.12069801879085","236.6532371318446","0.9390329718589783","76.72714333129085","243.91695005703818","0.9663801789283752","161.82634740093954","313.5349942097622","0.9615585803985596","101.16522894965279","315.33979837873346","0.07078325748443604","150.29952703737746","328.0730174917036","0.07192336022853851","66.8502987132353","350.31887358268807","0.017705263569951057","170.10467728758172","256.77607443480366","0.01604902185499668","96.14955927032271","260.2754143909016"
"2","0.734364805962233","0.9972782731056213","122.18548145169527","101.36088413474835","0.9948902130126953","131.64970447814542","93.20469408963635","0.989976704120636","112.47170043147467","90.45860628111173","0.7830994725227356","149.68882442299838","95.32277065040792","0.8025888204574585","97.772256689134","103.00671062638276","0.9956507086753845","173.2452352685866","165.18103135370578","0.9955465793609619","78.50611468545752","159.4389086698009","0.9927997589111328","210.64009523080065","227.2544334209071","0.9850667715072632","45.735517514297385","232.32245251140765","0.9123457670211792","159.50437857434642","235.87231661366152","0.9419341087341309","73.32907284007354","228.34932310391318","0.9668845534324646","162.13394863153596","315.43854569966817","0.9595395922660828","100.9320427389706","316.4859737970133","0.07278428226709366","150.5779909620098","351.070286573562","0.05864456668496132","110.69106955933415","333.39629856886063","0.018975479528307915","170.0011967677696","256.5379076932384","0.016196049749851227","94.41582573784723","260.95285601320523"
"3","0.7331835313097519","0.9972224235534668","123.06540894352533","100.84395957204094","0.9945281147956848","132.21298317504085","92.90188949719996","0.9902735352516174","113.3307243795956","89.78458370782633","0.7807361483573914","150.24010352839053","95.29699815058076","0.7974507808685303","97.64580620659723","102.85655603999587","0.9958873391151428","172.53031811683007","164.91870441267977","0.9955731630325317","79.17458129084967","159.39355360723175","0.9926309585571289","210.92969707414218","226.70407995713498","0.9849327206611633","45.3784219579759","231.78219415445244","0.9107306599617004","158.56577754799838","235.41586546771296","0.9340360760688782","77.21418792126227","235.8738884039685","0.965119481086731","161.7837743821487","313.2072192166759","0.9581584334373474","100.71084814133988","314.8332281872235","0.07237673550844193","150.19007863562092","351.08130530973455","0.06014237925410271","99.39430785334967","337.7839593127766","0.017323115840554237","169.08983417585785","256.6399120229536","0.016997966915369034","94.51484630310458","260.80528596861177"
"4","0.734053296091802","0.9972133040428162","122.48772116268383","100.82166283531528","0.9947816729545593","131.4695031658497","92.93548854051438","0.9898523092269897","113.06027082056782","89.77053481920632","0.7837060689926147","149.52323963439542","95.49668843767286","0.7955637574195862","97.87576912275327","102.70371968767286","0.996101975440979","172.70394518484477","164.7101262185426","0.990550696849823","85.41056315104167","162.31834749204924","0.9927821159362793","210.73754404105392","227.1008030714187","0.9847831130027771","44.59374122370303","231.52341589463498","0.9136937856674194","158.2620538449755","236.23068480365046","0.9395539164543152","78.11499502144608","235.85800846066098","0.9671772718429565","161.8823561325572","313.3277447455753","0.9591667652130127","101.23313355290033","315.1631097034016","0.07330640405416489","150.18693512561276","351.4070710038717","0.06490566581487656","109.95876736111111","333.4808187569137","0.01865989901125431","169.48441648794935","256.98060162299504","0.017107311636209488","95.43173796211194","260.6771769565819"
"5","0.7342914117171484","0.9969833493232727","121.68627770118465","102.95607305206029","0.9942850470542908","131.4544956980188","93.577208392388","0.9893783926963806","111.95816738153596","92.01225618345548","0.7804004549980164","147.052041845384","95.19465353636616","0.7976958751678467","97.79651916104984","103.6509096938952","0.9954811334609985","173.13026577818627","165.73076906457413","0.995751142501831","79.08223071129494","159.58647871439436","0.9923566579818726","211.42113779105392","228.60463370264105","0.9851058721542358","44.90682365068423","232.86206270741152","0.9152361750602722","174.24651501225492","227.05578829334902","0.9433416128158569","75.5337664036969","235.092028052406","0.9664818048477173","160.59747434129903","314.8410061186394","0.957148015499115","98.31223830678105","315.0758348313053","0.07176177203655243","149.6109068627451","350.98933127074116","0.06359546631574631","109.58052491830065","334.8960133780421","0.01946631632745266","169.73688661662584","256.5523130703817","0.01848491095006466","93.02530924479167","260.52638231125553"
"6","0.7317690033027354","0.9968268871307373","121.8365358838848","102.99845467626523","0.9939351677894592","131.78274516186684","94.07288137790377","0.9892075061798096","112.0999604268791","92.16555435045632","0.7564415335655212","148.781818065768","96.847771838703","0.7892728447914124","98.29364851409315","104.58593858026826","0.9959539175033569","171.64845983966504","166.5993047393529","0.9908985495567322","84.87435534109477","163.6829045388551","0.9925838708877563","211.32343367034315","229.59998206754705","0.9848477244377136","42.20867880029616","231.43549286158742","0.9132753014564514","157.7615974775327","237.1990696729812","0.9449394345283508","70.42922474979575","227.50204710833796","0.9545844197273254","164.92876838235296","306.9381740873894","0.9589111804962158","99.23942216860704","316.03462691855646","0.07904119789600372","149.13713043811276","351.60012574322457","0.0624539814889431","108.21683198018792","333.7028786988385","0.01992572657763958","168.62274369383172","256.0319856626798","0.016973812133073807","93.59197080524919","260.7565442650719"
"7","0.7332905140869758","0.9968176484107971","121.65433995863971","103.7176945779176","0.9937084913253784","131.40124751072304","94.22359500311119","0.9893679022789001","112.03653971354167","93.0808143278139","0.7756878137588501","146.84610204758988","99.41981222777241","0.775278627872467","98.30777037377452","104.4379715370921","0.9957262277603149","171.62035973243465","166.9913286867395","0.9902933835983276","85.56204203686684","164.07766696626106","0.99237459897995","211.33158764808007","230.39683114110898","0.9824317097663879","43.64145715252247","232.33214251763","0.9197779893875122","159.96883616727942","238.3676876642008","0.9504724144935608","79.67353770935458","235.68742870229536","0.9554587602615356","163.98635365604576","308.3899249861726","0.9592893123626709","98.93460541768792","316.4206067650719","0.08153331279754639","149.66670815461603","351.150852979812","0.0640784353017807","116.52760225183825","327.9057919662611","0.025738459080457687","168.9520782271242","255.93028920941651","0.017903652042150497","93.63431244893792","261.8360077174364"
"8","0.7345182914286852","0.9966360926628113","122.21178640727125","104.28071148627627","0.993598461151123","131.837198095384","94.38087935996268","0.9891453385353088","112.14872472426471","93.62078911435289","0.7875561118125916","146.86963848039215","98.95328217903071","0.775077223777771","96.35431825725082","100.59233538872374","0.9957104921340942","171.9955544066585","166.7664978567478","0.9902083277702332","85.98561006433825","164.29214342505531","0.9922667145729065","212.41209341809642","230.5522763412611","0.9844350218772888","45.27088838465074","233.32390979327988","0.9265874028205872","159.66356464460785","238.70876616081307","0.9470701813697815","80.16334284364788","234.8534238021986","0.9636483192443848","158.70745889501634","314.8718909879702","0.9610573053359985","99.1772301368464","317.61257475456307","0.07678952068090439","149.46309806474673","351.31188856816925","0.06275805830955505","116.76192938112746","327.79126192616155","0.026217488572001457","169.25838694852942","255.51112352219306","0.01804889366030693","94.3194859323938","260.71742775165933"
"9","0.735987716299646","0.9967819452285767","122.55771612030229","104.31940669507053","0.9940681457519531","131.8274643841912","94.6319120964118","0.9894664883613586","112.45399624693628","93.74642701275582","0.8093733787536621","146.88093596813727","99.15180577641041","0.7709478735923767","96.60355711294935","100.61920166015626","0.9955170750617981","172.38653045853758","166.70267020706584","0.9904671907424927","85.84812538296569","163.83954883676716","0.9928614497184753","212.603209252451","231.84129022918972","0.9813389778137207","46.815564523335375","232.57476536573563","0.9285123944282532","158.04416232638889","239.07915773644913","0.945628821849823","71.27011367698121","230.94094605572457","0.9642693996429443","157.7912294475082","314.76212493086285","0.9604228734970093","98.564453125","317.1900062223452","0.0808718129992485","146.3822029462827","328.0055439366704","0.06629246473312378","115.64515356924021","327.5333910916759","0.026282869279384613","168.8174657883987","255.71676878802546","0.018688015639781952","94.50729070925246","260.54171131775445"
"10","0.735534052748014","0.9967917799949646","122.9266796236724","103.71546652464741","0.9939022064208984","132.35176036560458","94.6207313200014","0.9901212453842163","112.71849788092321","93.03398469908048","0.7762002944946289","147.36585031147877","98.85993079801577","0.7882769107818604","96.53915505004086","101.02808589428928","0.9957406520843506","172.31121387357027","166.477774560979","0.990301251411438","85.95565097783906","163.26200502108685","0.9922078251838684","214.02750651041669","231.54637699633574","0.983453094959259","44.90813211677901","231.4454421321903","0.9347715377807617","158.60482409109477","240.49837095547568","0.9534664154052734","83.29483730341096","230.7768965189436","0.9361457824707031","165.2209233302696","309.5946293383573","0.9599635601043701","100.85809046926063","314.79654227737836","0.08883234858512878","149.4955703635621","352.3059406111726","0.08398738503456116","115.96796172896242","326.32129770464604","0.023610061034560204","169.11386527267157","255.90305024543696","0.016306545585393906","111.22597688163808","326.8370393736173"
"11","0.7364391204627121","0.9967413544654846","122.52675174887663","103.85355721532773","0.9941573143005371","131.81172289879495","94.51118401721516","0.9895637631416321","112.67814287173204","93.1198336170838","0.7859465479850769","147.69293492136438","99.04225847362417","0.7885550856590271","96.26198363459967","101.42428237780007","0.9955400824546814","172.76515586703434","166.88135197732302","0.9898483157157898","86.36669283598857","164.27371945001383","0.9930285811424255","213.92708971609477","232.0904270948562","0.983066201210022","45.598750893586605","232.14399759748343","0.9280921220779419","158.80267373876634","239.7482218784569","0.954855740070343","84.61260627297794","231.42193009368088","0.9649843573570251","158.74690436070262","313.5383970547567","0.9611251354217529","100.64752316942402","315.59420155212945","0.0851096510887146","147.51126557393792","326.85220633987836","0.07054974883794785","115.8749648948121","326.4914399543695","0.02245047129690647","169.6133642258987","255.80154824045908","0.015850575640797615","96.07966803257762","261.83712579507744"
